,시점,수출액,수입액,환율,소비자 물가지수,기준금리(연%),국제유가,SCFI,고용률(%),가동률지수(원지수)
0,2015.01,2262441,410713,1093.5,94.643,2,45.77,1051.18,59,105.8
1,2015.02,1963200,347320,1098.4,94.587,2,55.69,1071.73,59.1,90.5
2,2015.03,2371707,459833,1109.5,94.596,1.75,54.69,868.47,59.8,107.8
3,2015.04,2493058,464552,1072.4,94.625,1.75,57.72,748.39,60.6,106.7
4,2015.05,2168130,424571,1108.2,94.89,1.75,63.02,731.35,61.2,97.2
5,2015.06,2253529,465065,1115.5,94.909,1.5,60.84,600.52,61.2,106.3
6,2015.07,2439023,437019,1170,95.08,1.5,55.61,675.17,61.3,103.2
7,2015.08,1820703,389900,1182.5,95.213,1.5,47.76,715.04,60.9,82
8,2015.09,2203051,391285,1185.3,94.966,1.5,45.77,646.69,61.1,92.7
9,2015.1,2385374,442438,1140.1,94.966,1.5,45.82,594.26,61.2,102.7
10,2015.11,2150526,428768,1158.1,94.786,1.5,41.61,551.3,61,100.5
11,2015.12,2295886,439201,1172.5,95.07,1.5,34.92,566.83,60.1,104.5
12,2016.01,1956959,419286,1199.1,95.232,1.5,26.86,658.35,59,95.3
13,2016.02,1915566,395408,1236.7,95.64,1.5,28.87,507.05,58.9,85.5
14,2016.03,2275073,475960,1143.5,95.393,1.5,35.24,414.13,59.7,105.1
15,2016.04,2128341,461630,1139.3,95.573,1.5,38.99,507.02,60.5,95.7
16,2016.05,2111161,487514,1191.7,95.63,1.5,44.26,561.75,61.1,96.3
17,2016.06,2245312,480989,1151.8,95.611,1.25,46.3,554.61,61.3,98
18,2016.07,2179502,483376,1120.2,95.431,1.25,42.53,694.89,61.3,96.3
19,2016.08,1869220,459404,1114.8,95.677,1.25,43.64,627.23,61.2,76.2
20,2016.09,2296601,443548,1101.3,96.247,1.25,43.33,755.92,61.1,82.1
21,2016.1,2214774,439011,1144.5,96.379,1.25,48.97,819.01,61.2,94.2
22,2016.11,2204945,508429,1169.1,96.237,1.25,43.9,820.42,61.2,102.3
23,2016.12,2167825,480933,1207.7,96.342,1.25,52.08,838.53,60.2,103.8
24,2017.01,1956371,451277,1162.1,97.366,1.25,53.71,971.14,59.1,84.1
25,2017.02,2053447,466200,1130.7,97.632,1.25,54.39,869.98,59.3,89.6
26,2017.03,2185106,535924,1118.4,97.565,1.25,51.2,775.17,60.3,99.4
27,2017.04,1905495,465642,1137.9,97.442,1.25,52.3,834.06,61,89.8
28,2017.05,1844579,491945,1119.5,97.546,1.25,50.72,860.92,61.5,86.1
29,2017.06,1960713,499304,1144.1,97.338,1.25,46.47,869.76,61.5,89.5
30,2017.07,1887220,442749,1119,97.499,1.25,47.57,878.54,61.6,88.1
31,2017.08,1864873,472858,1127.8,98.058,1.25,50.22,864.2,61.2,74.7
32,2017.09,2146374,458215,1145.4,98.172,1.25,53.66,760.54,61.4,90.1
33,2017.1,1571599,403105,1120.4,98.077,1.25,55.54,759.71,61.4,75
34,2017.11,1964149,470429,1088.2,97.347,1.5,60.82,760.08,61.4,91.7
35,2017.12,1794286,414995,1070.5,97.698,1.5,61.61,742.05,60.4,76.4
36,2018.01,1825398,439941,1067.9,98.106,1.5,66.2,838.82,59.5,81.1
37,2018.02,1687755,402650,1082.8,98.855,1.5,62.72,869.17,59.2,70.7
38,2018.03,1941441,467505,1063.5,98.751,1.5,62.74,696.53,60.2,88.8
39,2018.04,2028886,475151,1068,98.931,1.5,68.27,687.29,60.9,90.4
40,2018.05,2112054,481158,1077.7,98.979,1.5,74.41,768.47,61.3,90.7
41,2018.06,1990335,450935,1114.5,98.779,1.5,73.61,797.03,61.4,88.1
42,2018.07,2021029,439089,1118.7,98.59,1.5,73.12,825.08,61.3,85
43,2018.08,1869729,421344,1112.9,99.462,1.5,72.49,903.47,60.9,84.8
44,2018.09,1754030,394334,1109.3,100.221,1.5,77.23,897.97,61.2,81.1
45,2018.1,2147757,512512,1139.6,100.041,1.5,79.39,929.13,61.2,96.2
46,2018.11,1952039,487193,1121.2,99.33,1.75,65.56,936.86,61.4,97.7
47,2018.12,1788296,445822,1115.7,98.988,1.75,57.32,863.71,60.1,91.1
48,2019.01,2052355,495520,1112.7,98.884,1.75,59.09,948.61,59.2,94.4
49,2019.02,1638065,371446,1124.7,99.311,1.75,64.59,890.16,59.4,75.5
50,2019.03,1924582,467658,1135.1,99.121,1.75,66.94,766.82,60.4,95.1
51,2019.04,2027109,488516,1168.2,99.481,1.75,70.94,778.61,60.8,99.5
52,2019.05,1945127,467459,1190.9,99.652,1.75,69.38,747.29,61.5,98.8
53,2019.06,1718944,418546,1154.7,99.491,1.75,61.78,789.08,61.6,92
54,2019.07,2049116,460824,1183.1,99.187,1.5,63.28,802,61.5,101.1
55,2019.08,1771342,396022,1211.2,99.425,1.5,59.13,810.22,61.4,79.6
56,2019.09,1787238,402668,1196.2,99.794,1.5,61.13,754.46,61.5,86.3
57,2019.1,1993233,456308,1163.4,100.041,1.25,59.39,745.62,61.7,99.1
58,2019.11,1769419,447987,1181.2,99.481,1.25,61.99,813.6,61.7,94.9
59,2019.12,1858667,466760,1156.4,99.719,1.25,64.91,898.53,60.8,94.2
60,2020.01,1741611,464002,1191.8,100.09,1.25,64.32,999.29,60,81.1
61,2020.02,1801426,353434,1213.7,100.16,1.25,54.23,891.35,60,72.4
62,2020.03,1933608,461643,1217.4,99.94,0.75,33.71,892.71,59.5,97.5
63,2020.04,1021185,455326,1218.2,99.5,0.75,20.39,857.58,59.4,76.7
64,2020.05,644363,373975,1238.5,99.44,0.5,30.47,869.29,60.2,58.9
65,2020.06,941683,424608,1203,99.71,0.5,40.8,982.75,60.4,73.5
66,2020.07,1476717,493309,1191.3,99.63,0.5,43.3,1049.96,60.5,89.3
67,2020.08,1293025,424472,1187.8,100.19,0.5,44,1180.57,60.4,69.7
68,2020.09,1953936,500787,1169.5,100.74,0.5,41.51,1390.14,60.3,96.8
69,2020.1,1806034,525914,1135.1,100.18,0.5,40.67,1471.53,60.4,95.3
70,2020.11,1883665,504352,1106.5,100.09,0.5,43.42,1877.12,60.7,98.6
71,2020.12,2142654,540640,1086.3,100.33,0.5,49.84,2455.54,59.1,92.5
72,2021.01,1806084,506929,1118.8,101.04,0.5,54.82,2871.5,57.4,93.7
73,2021.02,1803439,459344,1123.5,101.58,0.5,60.89,2840.4,58.6,82.6
74,2021.03,2176346,615411,1131.8,101.84,0.5,64.44,2628.51,59.8,101.1
75,2021.04,2041199,551143,1112.3,101.98,0.5,62.92,2830.29,60.4,95.7
76,2021.05,1817837,519293,1110.9,102.05,0.5,66.34,3341.69,61.2,85.1
77,2021.06,1958707,548866,1126.1,102.05,0.5,71.6,3712.69,61.3,94.1
78,2021.07,1992282,544831,1150.3,102.26,0.5,72.93,4037.63,61.3,91.5
79,2021.08,1579116,507368,1159.5,102.75,0.75,69.5,4308.3,61.2,77.2
80,2021.09,1853552,500444,1184,103.17,0.75,72.63,4590.24,61.3,78.3
81,2021.1,1784922,495623,1168.6,103.35,0.75,81.61,4596.59,61.4,85.5
82,2021.11,1841532,477131,1187.9,103.87,1,80.3,4561.78,61.5,93.9
83,2021.12,2120744,515085,1188.8,104.04,1,73.21,4887.07,60.4,98.8
