K-stat,,,,
"품목 : MTI 742  ,  년월 : 2011년 1월  ~  2021년 12월  ,  수입구분 : 전체  ,  단위 : 천불, Kg, %",,,,
년월,수출 금액,수출 증감률,수입 금액,수입 증감률
2011.01,1770908,-6.9,521846,3.9
2011.02,1697007,-4.2,447911,-14.2
2011.03,2044642,20.5,597860,33.5
2011.04,1984151,-3,526234,-12
2011.05,1882387,-5.1,547208,4
2011.06,1958489,4,601054,9.8
2011.07,2142090,9.4,560827,-6.7
2011.08,1972825,-7.9,563602,0.5
2011.09,2140018,8.5,558988,-0.8
2011.1,2031299,-5.1,530736,-5.1
2011.11,2039302,0.4,572753,7.9
2011.12,2096985,2.8,494160,-13.7
2012.01,1820970,-13.2,475053,-3.9
2012.02,2235301,22.8,460035,-3.2
2012.03,2180367,-2.5,485233,5.5
2012.04,2126564,-2.5,450005,-7.3
2012.05,2149647,1.1,484204,7.6
2012.06,2123038,-1.2,435674,-10
2012.07,2238618,5.4,436588,0.2
2012.08,2037499,-9,428367,-1.9
2012.09,2235550,9.7,425848,-0.6
2012.1,2063774,-7.7,456052,7.1
2012.11,2344473,13.6,462418,1.4
2012.12,2102337,-10.3,429160,-7.2
2013.01,2267254,7.8,497857,16
2013.02,2165049,-4.5,389948,-21.7
2013.03,2349636,8.5,446072,14.4
2013.04,2306326,-1.8,470214,5.4
2013.05,2368297,2.7,435403,-7.4
2013.06,2036974,-14,413418,-5
2013.07,2303935,13.1,427596,3.4
2013.08,2220400,-3.6,458949,7.3
2013.09,2148529,-3.2,406406,-11.4
2013.1,2538775,18.2,498770,22.7
2013.11,2260029,-11,479284,-3.9
2013.12,2393553,5.9,477184,-0.4
2014.01,2344364,-2.1,412984,-13.5
2014.02,2225369,-5.1,420411,1.8
2014.03,2340727,5.2,450315,7.1
2014.04,2552476,9,492104,9.3
2014.05,2382998,-6.6,445554,-9.5
2014.06,2212772,-7.1,424651,-4.7
2014.07,2635047,19.1,496854,17
2014.08,2080865,-21,409155,-17.7
2014.09,2140824,2.9,430980,5.3
2014.1,2570817,20.1,445885,3.5
2014.11,2112692,-17.8,413260,-7.3
2014.12,2378231,12.6,460892,11.5
2015.01,2262441,-4.9,410713,-10.9
2015.02,1963200,-13.2,347320,-15.4
2015.03,2371707,20.8,459833,32.4
2015.04,2493058,5.1,464552,1
2015.05,2168130,-13,424571,-8.6
2015.06,2253529,3.9,465065,9.5
2015.07,2439023,8.2,437019,-6
2015.08,1820703,-25.4,389900,-10.8
2015.09,2203051,21,391285,0.4
2015.1,2385374,8.3,442438,13.1
2015.11,2150526,-9.8,428768,-3.1
2015.12,2295886,6.8,439201,2.4
2016.01,1956959,-14.8,419286,-4.5
2016.02,1915566,-2.1,395408,-5.7
2016.03,2275073,18.8,475960,20.4
2016.04,2128341,-6.4,461630,-3
2016.05,2111161,-0.8,487514,5.6
2016.06,2245312,6.4,480989,-1.3
2016.07,2179502,-2.9,483376,0.5
2016.08,1869220,-14.2,459404,-5
2016.09,2296601,22.9,443548,-3.5
2016.1,2214774,-3.6,439011,-1
2016.11,2204945,-0.4,508429,15.8
2016.12,2167825,-1.7,480933,-5.4
2017.01,1956371,-9.8,451277,-6.2
2017.02,2053447,5,466200,3.3
2017.03,2185106,6.4,535924,15
2017.04,1905495,-12.8,465642,-13.1
2017.05,1844579,-3.2,491945,5.6
2017.06,1960713,6.3,499304,1.5
2017.07,1887220,-3.7,442749,-11.3
2017.08,1864873,-1.2,472858,6.8
2017.09,2146374,15.1,458215,-3.1
2017.1,1571599,-26.8,403105,-12
2017.11,1964149,25,470429,16.7
2017.12,1794286,-8.6,414995,-11.8
2018.01,1825398,1.7,439941,6
2018.02,1687755,-7.5,402650,-8.5
2018.03,1941441,15,467505,16.1
2018.04,2028886,4.5,475151,1.6
2018.05,2112054,4.1,481158,1.3
2018.06,1990335,-5.8,450935,-6.3
2018.07,2021029,1.5,439089,-2.6
2018.08,1869729,-7.5,421344,-4
2018.09,1754030,-6.2,394334,-6.4
2018.1,2147757,22.4,512512,30
2018.11,1952039,-9.1,487193,-4.9
2018.12,1788296,-8.4,445822,-8.5
2019.01,2052355,14.8,495520,11.1
2019.02,1638065,-20.2,371446,-25
2019.03,1924582,17.5,467658,25.9
2019.04,2027109,5.3,488516,4.5
2019.05,1945127,-4,467459,-4.3
2019.06,1718944,-11.6,418546,-10.5
2019.07,2049116,19.2,460824,10.1
2019.08,1771342,-13.6,396022,-14.1
2019.09,1787238,0.9,402668,1.7
2019.1,1993233,11.5,456308,13.3
2019.11,1769419,-11.2,447987,-1.8
2019.12,1858667,5,466760,4.2
2020.01,1741611,-6.3,464002,-0.6
2020.02,1801426,3.4,353434,-23.8
2020.03,1933608,7.3,461643,30.6
2020.04,1021185,-47.2,455326,-1.4
2020.05,644363,-36.9,373975,-17.9
2020.06,941683,46.1,424608,13.5
2020.07,1476717,56.8,493309,16.2
2020.08,1293025,-12.4,424472,-14
2020.09,1953936,51.1,500787,18
2020.1,1806034,-7.6,525914,5
2020.11,1883665,4.3,504352,-4.1
2020.12,2142654,13.7,540640,7.2
2021.01,1806084,-15.7,506929,-6.2
2021.02,1803439,-0.1,459344,-9.4
2021.03,2176346,20.7,615411,34
2021.04,2041199,-6.2,551143,-10.4
2021.05,1817837,-10.9,519293,-5.8
2021.06,1958707,7.7,548866,5.7
2021.07,1992282,1.7,544831,-0.7
2021.08,1579116,-20.7,507368,-6.9
2021.09,1853552,17.4,500444,-1.4
2021.1,1784922,-3.7,495623,-1
2021.11,1841532,3.2,477131,-3.7
2021.12,2120744,15.2,515085,8
