시점,금리(연%)
2015.01,2
2015.02,2
2015.03,1.75
2015.04,1.75
2015.05,1.75
2015.06,1.5
2015.07,1.5
2015.08,1.5
2015.09,1.5
2015.1,1.5
2015.11,1.5
2015.12,1.5
2016.01,1.5
2016.02,1.5
2016.03,1.5
2016.04,1.5
2016.05,1.5
2016.06,1.25
2016.07,1.25
2016.08,1.25
2016.09,1.25
2016.1,1.25
2016.11,1.25
2016.12,1.25
2017.01,1.25
2017.02,1.25
2017.03,1.25
2017.04,1.25
2017.05,1.25
2017.06,1.25
2017.07,1.25
2017.08,1.25
2017.09,1.25
2017.1,1.25
2017.11,1.5
2017.12,1.5
2018.01,1.5
2018.02,1.5
2018.03,1.5
2018.04,1.5
2018.05,1.5
2018.06,1.5
2018.07,1.5
2018.08,1.5
2018.09,1.5
2018.1,1.5
2018.11,1.75
2018.12,1.75
2019.01,1.75
2019.02,1.75
2019.03,1.75
2019.04,1.75
2019.05,1.75
2019.06,1.75
2019.07,1.5
2019.08,1.5
2019.09,1.5
2019.1,1.25
2019.11,1.25
2019.12,1.25
2020.01,1.25
2020.02,1.25
2020.03,0.75
2020.04,0.75
2020.05,0.5
2020.06,0.5
2020.07,0.5
2020.08,0.5
2020.09,0.5
2020.1,0.5
2020.11,0.5
2020.12,0.5
2021.01,0.5
2021.02,0.5
2021.03,0.5
2021.04,0.5
2021.05,0.5
2021.06,0.5
2021.07,0.5
2021.08,0.75
2021.09,0.75
2021.1,0.75
2021.11,1
2021.12,1
