년월,45Kg,100Kg,300Kg,500Kg,"1,000Kg"
2021.12,2.6,2.6,2.6,2.55,2.55
2021.11,2.6,2.6,2.6,2.8,2.8
2021.10,2.7,2.7,2.7,2.8,2.8
2021.09,3.25,3.25,3.1,3.1,3.1
2021.08,3.25,3.25,3.1,3.1,3.1
2021.07,3.25,3.25,3.1,3.1,3.1
2021.06,3.25,3.25,3.1,3.1,3.1
2021.05,3.25,3.25,3.1,3.1,3.1
2021.04,3.25,3.25,3.1,3.1,3.1
2021.03,3.75,3.25,3,3,3
2021.02,3.75,3.25,3,3,3
2021.01,3.75,3.25,3,3,3
2020.12,3.75,3.25,3,3,3
2020.11,3.75,3.25,3,3,3
2020.10,3.75,3.25,3,3,3
2020.09,3.75,3.25,3,3,3
2020.08,3.75,3.25,3,3,3
2020.07,3.75,3.25,3,3,3
2020.06,3.75,3.25,3,3,3
2020.05,2,1.9,1.75,1.75,1.75
2020.04,2,1.9,1.75,1.75,1.75
2020.03,1.75,1.6,1.5,1.5,1.5
2020.02,1.65,1.5,1.4,1.4,1.4
2020.01,1.65,1.48,1.38,1.38,1.38
2019.12,1.65,1.48,1.38,1.38,1.38
2019.11,1.65,1.48,1.38,1.38,1.38
2019.10,1.65,1.48,1.38,1.38,1.38
2019.09,1.65,1.48,1.38,1.38,1.38
2019.08,1.65,1.48,1.38,1.38,1.38
2019.07,1.65,1.48,1.38,1.38,1.38
2019.06,1.25,1.2,1.2,1.2,1.2
2019.05,1.25,1.2,1.2,1.2,1.2
2019.04,1.25,1.2,1.2,1.2,1.2
2019.03,1.25,1.2,1.2,1.2,1.2
2019.02,1.25,1.2,1.2,1.2,1.2
2019.01,1.2,1.15,1.15,1.15,1.15
2018.12,1.2,1.15,1.15,1.15,1.15
2018.11,1.25,1.2,1.2,1.2,1.2
2018.10,1.2,1.15,1.15,1.15,1.15
2018.09,1.2,1.15,1.15,1.15,1.15
2018.08,1.21,1.16,1.16,1.16,1.16
2018.07,1.16,1.11,1.11,1.11,1.11
2018.06,1.16,1.11,1.11,1.11,1.11
2018.05,1.21,1.16,1.16,1.16,1.16
2018.04,1.16,1.11,1.11,1.11,1.11
2018.03,1.16,1.11,1.11,1.11,1.11
2018.02,1.16,1.11,1.11,1.11,1.11
2018.01,1.16,1.11,1.11,1.11,1.11
2017.12,1.22,1,1,1,1
2017.11,1.11,0.82,0.82,0.82,0.8
2017.10,1.11,0.82,0.82,0.82,0.8
2017.09,1.11,0.82,0.82,0.82,0.8
2017.08,1.11,0.82,0.82,0.82,0.8
2017.07,1.11,0.82,0.82,0.82,0.82
2017.06,1.11,0.82,0.82,0.82,0.82
2017.05,1.15,0.93,0.93,0.93,0.93
2017.04,1.15,0.93,0.93,0.93,0.93
2017.03,1.15,0.93,0.93,0.93,0.93
2017.02,1.15,0.93,0.93,0.93,0.93
2017.01,1.15,0.93,0.93,0.93,0.93
2016.12,1.15,0.93,0.93,0.93,0.93
2016.11,1.15,0.93,0.93,0.93,0.93
2016.10,1.15,0.93,0.93,0.93,0.93
2016.09,1.15,0.93,0.93,0.93,0.93
2016.08,1.15,0.93,0.93,0.93,0.93
2016.07,1.15,0.93,0.93,0.93,0.93
2016.06,1.15,0.93,0.93,0.93,0.93
2016.05,1.15,0.93,0.93,0.93,0.93
2016.04,1.32,1.1,1.1,1.1,1.1
2016.03,1.15,0.93,0.93,0.93,0.93
2016.02,1.12,0.9,0.9,0.9,0.9
2016.01,1.13,0.91,0.91,0.91,0.91
2015.12,1.16,0.94,0.94,0.94,0.94
2015.11,1.21,0.98,0.98,0.98,0.98
2015.10,1.24,0.99,0.99,0.99,0.99
2015.09,1.24,0.99,0.99,0.99,0.99
2015.08,1.24,0.99,0.99,0.99,0.99
2015.07,1.24,0.99,0.99,0.99,0.99
2015.06,1.25,1.01,1.01,1.01,1.01
2015.05,1.25,1.01,1.01,1.01,1.01
2015.04,1.23,0.99,0.99,0.99,0.99
2015.03,1.32,1.08,1.08,1.08,1.08
2015.02,1.44,1.24,1.15,1.15,1.15
2015.01,1.44,1.24,1.15,1.15,1.15
