K-stat,,,,
"품목 : MTI 831  ,  년월 : 2015년 1월  ~  2021년 12월  ,  수입구분 : 전체  ,  단위 : 천불, Kg, %",,,,
년월,수출 금액,수출 증감률,수입 금액,수입 증감률
2015.01,5262694,-9.3,3353905,-3.7
2015.02,4760336,-9.5,2822967,-15.8
2015.03,5388654,13.2,3199381,13.3
2015.04,5162367,-4.2,3115806,-2.6
2015.05,5111415,-1,2892591,-7.2
2015.06,5306363,3.8,2989678,3.4
2015.07,5137412,-3.2,3278581,9.7
2015.08,5452013,6.1,3265189,-0.4
2015.09,5855255,7.4,3546972,8.6
2015.1,5499216,-6.1,3578585,0.9
2015.11,5190127,-5.6,3337474,-6.7
2015.12,4791307,-7.7,2898451,-13.2
2016.01,4528511,-5.5,2799589,-3.4
2016.02,4151085,-8.3,2961008,5.8
2016.03,5287422,27.4,3435976,16
2016.04,4551238,-13.9,2955943,-14
2016.05,4889157,7.4,2940137,-0.5
2016.06,5279993,8,2987288,1.6
2016.07,5003048,-5.2,3007284,0.7
2016.08,5587644,11.7,3126419,4
2016.09,5702423,2.1,2966946,-5.1
2016.1,5592330,-1.9,3015770,1.6
2016.11,5793983,3.6,3134548,3.9
2016.12,5861645,1.2,3279234,4.6
2017.01,6314833,7.7,3054561,-6.9
2017.02,6397048,1.3,3007654,-1.5
2017.03,7493642,17.1,3709261,23.3
2017.04,7138355,-4.7,3037277,-18.1
2017.05,7507623,5.2,3268530,7.6
2017.06,8027211,6.9,3198161,-2.2
2017.07,7892311,-1.7,3364524,5.2
2017.08,8757473,11,3690406,9.7
2017.09,9688233,10.6,3895814,5.6
2017.1,9482959,-2.1,3942551,1.2
2017.11,9572773,0.9,3617485,-8.2
2017.12,9664335,1,3391134,-6.3
2018.01,9680865,0.2,3612011,6.5
2018.02,9004364,-7,3278259,-9.2
2018.03,10803648,20,3785797,15.5
2018.04,9778817,-9.5,3507680,-7.3
2018.05,10840720,10.9,3400680,-3.1
2018.06,11157322,2.9,3543927,4.2
2018.07,10383245,-6.9,3872878,9.3
2018.08,11513470,10.9,3816311,-1.5
2018.09,12426643,7.9,3556547,-6.8
2018.1,11581398,-6.8,3991703,12.2
2018.11,10683538,-7.8,4315424,8.1
2018.12,8852074,-17.1,4047088,-6.2
2019.01,7415335,-16.2,3803373,-6
2019.02,6767336,-8.7,3159223,-16.9
2019.03,9002564,33,3977508,25.9
2019.04,8433757,-6.3,4182284,5.1
2019.05,7536789,-10.6,4557836,9
2019.06,8305682,10.2,3890038,-14.7
2019.07,7461331,-10.2,4454763,14.5
2019.08,7976469,6.9,3872700,-13.1
2019.09,8501964,6.6,3866403,-0.2
2019.1,7862220,-7.5,3733005,-3.5
2019.11,7387013,-6,3652200,-2.2
2019.12,7279237,-1.5,3882819,6.3
2020.01,7163936,-1.6,3738725,-3.7
2020.02,7399726,3.3,3887591,4
2020.03,8756549,18.3,4130219,6.2
2020.04,7172776,-18.1,3616259,-12.4
2020.05,8066599,12.5,3887041,7.5
2020.06,8302898,2.9,3793795,-2.4
2020.07,7876583,-5.1,4501675,18.7
2020.08,8200340,4.1,4389877,-2.5
2020.09,9504203,15.9,4474313,1.9
2020.1,8677437,-8.7,4753220,6.2
2020.11,8594825,-1,4560906,-4
2020.12,9461031,10.1,4549503,-0.3
2021.01,8712259,-7.9,4554030,0.1
2021.02,8372045,-3.9,4077406,-10.5
2021.03,9505254,13.5,4669892,14.5
2021.04,9341818,-1.7,4652648,-0.4
2021.05,10043260,7.5,4696662,0.9
2021.06,11158755,11.1,4803072,2.3
2021.07,10980906,-1.6,5353964,11.5
2021.08,11695023,6.5,5311582,-0.8
2021.09,12180206,4.1,5458903,2.8
2021.1,11173464,-8.3,5410830,-0.9
2021.11,12035996,7.7,6046221,11.7
2021.12,12780662,6.2,6356192,5.1
