통계표,항목명1,항목명2,단위,가중치,변환,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02
"7.6.1 수입물가지수(기본분류)(2015=100)","총지수","달러기준","2015=100","1000","원자료","109.44","108.61","109.98","111.61","113.97","113.69","112.16","112.05","113.97","114.92","109.50","105.97","105.89","108.18","109.20","110.13","108.45","105.11","105.97","103.76","104.49","103.19","103.67","104.58","104.76","100.70","93.25","87.62","90.87","94.55","94.64","94.57","94.15","94.83","97.19","101.14","104.65","107.87","109.71","110.60","113.48","116.79","118.58","118.42","120.18","125.07","123.83","121.28","125.56","129.51"
"7.6.1 수입물가지수(기본분류)(2015=100)","  농림수산품","달러기준","2015=100","43.8","원자료","100.46","101.90","102.78","103.70","103.52","103.14","100.76","100.14","98.60","99.33","99.34","98.16","97.78","97.31","98.63","98.88","99.66","99.96","98.08","97.77","98.99","99.46","101.18","100.84","100.39","98.33","97.15","95.38","96.85","96.34","95.88","96.24","99.87","101.48","101.65","102.55","105.64","108.02","109.67","113.08","116.12","115.75","116.65","118.15","119.45","119.65","120.41","119.62","121.13","124.00"
"7.6.1 수입물가지수(기본분류)(2015=100)","    농림수산품","달러기준","2015=100","43.8","원자료","100.46","101.90","102.78","103.70","103.52","103.14","100.76","100.14","98.60","99.33","99.34","98.16","97.78","97.31","98.63","98.88","99.66","99.96","98.08","97.77","98.99","99.46","101.18","100.84","100.39","98.33","97.15","95.38","96.85","96.34","95.88","96.24","99.87","101.48","101.65","102.55","105.64","108.02","109.67","113.08","116.12","115.75","116.65","118.15","119.45","119.65","120.41","119.62","121.13","124.00"
"7.6.1 수입물가지수(기본분류)(2015=100)","  광산품","달러기준","2015=100","280","원자료","123.11","120.43","120.71","127.10","134.89","135.11","131.90","131.29","138.17","142.02","127.17","118.05","119.84","127.13","127.85","131.90","128.39","119.04","122.42","118.13","119.92","115.44","117.33","119.38","119.11","107.17","83.69","67.50","78.78","89.37","88.14","85.12","81.68","82.31","88.42","97.35","105.32","113.35","117.51","117.38","125.00","135.39","139.54","138.55","144.31","158.56","154.19","147.14","159.32","170.87"
"7.6.1 수입물가지수(기본분류)(2015=100)","    광산품","달러기준","2015=100","280","원자료","123.11","120.43","120.71","127.10","134.89","135.11","131.90","131.29","138.17","142.02","127.17","118.05","119.84","127.13","127.85","131.90","128.39","119.04","122.42","118.13","119.92","115.44","117.33","119.38","119.11","107.17","83.69","67.50","78.78","89.37","88.14","85.12","81.68","82.31","88.42","97.35","105.32","113.35","117.51","117.38","125.00","135.39","139.54","138.55","144.31","158.56","154.19","147.14","159.32","170.87"
"7.6.1 수입물가지수(기본분류)(2015=100)","  공산품","달러기준","2015=100","676.2","원자료","105.69","105.36","107.13","107.20","107.84","107.41","106.50","106.59","107.01","107.00","104.45","102.68","101.97","102.75","103.87","103.79","102.56","101.05","101.21","99.58","99.93","99.61","99.54","100.13","100.48","98.80","96.06","93.54","94.36","96.09","96.64","97.48","97.78","98.42","99.71","102.25","104.31","105.98","107.07","108.14","109.46","110.62","111.70","111.73","112.19","114.24","113.92","112.75","114.68","116.27"
"7.6.1 수입물가지수(기본분류)(2015=100)","    음식료품","달러기준","2015=100","36.7","원자료","96.45","97.76","97.80","97.20","96.08","94.88","93.46","91.70","91.14","91.14","90.17","90.54","91.89","92.61","91.92","92.33","92.45","92.79","93.77","93.82","94.39","94.95","96.05","97.46","96.86","95.79","94.19","91.51","91.75","92.24","92.78","92.85","94.80","96.00","97.90","100.17","102.41","103.86","104.30","108.11","109.32","109.11","110.13","114.68","115.42","117.67","117.17","118.71","119.98","127.74"
"7.6.1 수입물가지수(기본분류)(2015=100)","    섬유및가죽제품","달러기준","2015=100","39.1","원자료","101.86","101.48","101.88","101.98","102.17","102.29","100.73","100.66","100.35","100.10","99.48","98.64","98.38","97.59","97.75","97.03","96.29","96.08","95.60","94.68","95.14","95.12","95.48","95.59","96.40","95.75","95.39","95.81","95.26","95.35","94.84","95.93","96.41","97.71","98.36","99.35","99.79","100.50","100.81","101.27","100.70","100.93","100.38","100.68","100.68","101.87","102.13","102.04","102.43","102.25"
"7.6.1 수입물가지수(기본분류)(2015=100)","    목재및종이제품","달러기준","2015=100","14.5","원자료","111.65","112.47","113.35","114.53","115.01","115.44","115.67","114.74","114.97","115.20","112.20","108.74","105.56","105.61","105.39","104.46","101.30","97.71","95.01","93.44","92.59","91.28","91.18","90.96","90.31","91.18","91.90","92.88","92.32","91.12","90.65","90.87","91.35","92.48","94.46","97.50","101.57","107.29","113.19","118.27","119.23","121.48","119.85","119.22","118.49","115.71","114.05","114.58","118.91","122.08"
"7.6.1 수입물가지수(기본분류)(2015=100)","    석탄및석유제품","달러기준","2015=100","66","원자료","125.69","117.89","118.10","124.36","135.80","134.10","136.14","138.47","144.24","147.60","122.26","107.90","106.73","115.08","122.29","126.91","122.78","108.97","113.91","104.80","110.00","108.31","107.51","113.11","117.80","104.42","72.02","48.15","61.46","78.55","84.24","86.05","84.19","84.41","86.94","97.76","111.29","121.78","126.79","121.71","124.10","132.08","140.41","137.00","144.81","161.72","160.83","150.86","160.24","170.76"
