통계표,항목명1,항목명2,단위,가중치,변환,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02
"7.6.1 수입물가지수(기본분류)(2015=100)","총지수","원화기준","2015=100","1000","원자료","103.37","103.84","104.39","105.53","108.64","110.01","111.50","111.18","113.03","115.02","109.36","105.31","105.14","107.47","109.28","111.21","113.57","109.36","110.23","111.01","110.73","108.14","107.11","108.83","107.94","106.39","100.70","95.01","98.82","101.26","100.42","99.34","98.23","96.06","96.05","98.02","101.64","106.12","109.81","109.56","112.81","115.88","120.05","121.61","124.40","130.92","129.63","127.04","132.67","137.34"
"7.6.1 수입물가지수(기본분류)(2015=100)","  농림수산품","원화기준","2015=100","43.8","원자료","94.84","97.41","97.53","98.04","98.68","99.80","100.12","99.26","97.71","99.34","99.12","97.46","97.00","96.58","98.61","99.75","104.27","103.90","101.92","104.52","104.83","104.13","104.45","104.85","103.35","103.80","104.82","103.34","105.23","103.08","101.65","101.00","104.11","102.72","100.38","99.31","102.53","106.19","109.69","111.93","115.34","114.77","118.00","121.23","123.54","125.14","125.96","125.21","127.89","131.40"
"7.6.1 수입물가지수(기본분류)(2015=100)","    농림수산품","원화기준","2015=100","43.8","원자료","94.84","97.41","97.53","98.04","98.68","99.80","100.12","99.26","97.71","99.34","99.12","97.46","97.00","96.58","98.61","99.75","104.27","103.90","101.92","104.52","104.83","104.13","104.45","104.85","103.35","103.80","104.82","103.34","105.23","103.08","101.65","101.00","104.11","102.72","100.38","99.31","102.53","106.19","109.69","111.93","115.34","114.77","118.00","121.23","123.54","125.14","125.96","125.21","127.89","131.40"
"7.6.1 수입물가지수(기본분류)(2015=100)","  광산품","원화기준","2015=100","280","원자료","116.48","115.33","114.77","120.37","128.79","130.97","131.37","130.56","137.35","142.44","127.30","117.58","119.27","126.56","128.22","133.49","134.76","124.14","127.62","126.68","127.37","121.25","121.50","124.52","123.01","113.49","90.58","73.37","85.87","95.92","93.74","89.60","85.41","83.58","87.60","94.59","102.56","111.81","117.93","116.59","124.58","134.71","141.64","142.63","149.75","166.41","161.83","154.53","168.78","181.67"
"7.6.1 수입물가지수(기본분류)(2015=100)","    광산품","원화기준","2015=100","280","원자료","116.48","115.33","114.77","120.37","128.79","130.97","131.37","130.56","137.35","142.44","127.30","117.58","119.27","126.56","128.22","133.49","134.76","124.14","127.62","126.68","127.37","121.25","121.50","124.52","123.01","113.49","90.58","73.37","85.87","95.92","93.74","89.60","85.41","83.58","87.60","94.59","102.56","111.81","117.93","116.59","124.58","134.71","141.64","142.63","149.75","166.41","161.83","154.53","168.78","181.67"
"7.6.1 수입물가지수(기본분류)(2015=100)","  공산품","원화기준","2015=100","676.2","원자료","99.77","100.68","101.62","101.30","102.75","103.87","105.80","105.68","106.06","107.01","104.24","101.96","101.17","101.99","103.86","104.71","107.32","105.04","105.19","106.46","105.82","104.31","102.77","104.12","103.45","104.31","103.65","101.35","102.53","102.83","102.45","102.31","101.93","99.62","98.48","99.03","101.24","104.20","107.09","107.05","108.73","109.70","113.00","114.65","116.03","119.50","119.17","118.03","121.10","123.22"
"7.6.1 수입물가지수(기본분류)(2015=100)","    음식료품","원화기준","2015=100","36.7","원자료","91.04","93.39","92.77","91.84","91.52","91.75","92.85","90.98","90.39","91.20","90.05","89.96","91.23","91.98","91.97","93.22","96.81","96.52","97.53","100.37","100.02","99.49","99.23","101.39","99.77","101.19","101.66","99.20","99.74","98.74","98.42","97.50","98.88","97.22","96.73","97.05","99.44","102.15","104.36","107.07","108.63","108.23","111.46","117.73","119.42","123.14","122.62","124.31","126.73","135.42"
"7.6.1 수입물가지수(기본분류)(2015=100)","    섬유및가죽제품","원화기준","2015=100","39.1","원자료","96.10","96.90","96.58","96.32","97.28","98.87","100.04","99.82","99.45","100.12","99.30","97.97","97.63","96.90","97.77","97.92","100.78","99.90","99.38","101.25","100.78","99.63","98.60","99.42","99.28","101.11","102.94","103.83","103.54","102.05","100.57","100.71","100.52","98.93","97.16","96.23","96.87","98.82","100.85","100.26","100.04","100.10","101.57","103.32","104.15","106.57","106.85","106.83","108.17","108.38"
"7.6.1 수입물가지수(기본분류)(2015=100)","    목재및종이제품","원화기준","2015=100","14.5","원자료","105.35","107.42","107.48","108.18","109.52","111.59","114.88","113.78","113.98","115.24","112.01","108.01","104.77","104.86","105.41","105.43","106.03","101.61","98.78","99.92","98.08","95.61","94.16","94.61","93.01","96.28","99.18","100.67","100.33","97.54","96.13","95.40","95.25","93.64","93.32","94.45","98.61","105.50","113.24","117.11","118.48","120.49","121.27","122.37","122.58","121.07","119.34","119.97","125.58","129.41"
"7.6.1 수입물가지수(기본분류)(2015=100)","    석탄및석유제품","원화기준","2015=100","66","원자료","118.90","112.87","112.27","117.77","129.64","129.95","135.57","137.68","143.36","148.03","122.37","107.46","106.21","114.56","122.64","128.43","128.86","113.62","118.74","112.38","116.83","113.76","111.32","117.95","121.64","110.55","77.93","52.32","66.98","84.29","89.57","90.57","88.01","85.69","86.10","94.95","108.32","120.07","127.19","120.82","123.62","131.35","142.46","140.98","150.20","169.65","168.73","158.38","169.70","181.47"
