통계표,항목명1,항목명2,단위,가중치,변환,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02
"7.5.1 수출물가지수(기본분류)(2015=100)","총지수","달러기준","2015=100","1000","원자료","107.03","106.99","106.28","106.85","107.82","107.06","106.83","106.99","107.26","106.80","103.68","101.32","100.01","100.40","99.85","99.62","98.50","96.95","96.64","95.22","95.33","94.42","93.70","93.68","93.96","92.48","89.05","86.76","86.94","88.80","89.69","90.54","91.13","91.61","93.46","95.87","97.77","99.93","101.77","105.53","107.11","108.31","110.31","110.14","110.61","111.79","110.74","109.33","109.68","111.56"
"7.5.1 수출물가지수(기본분류)(2015=100)","  농림수산품","달러기준","2015=100","3.9","원자료","118.82","117.52","121.27","120.42","116.94","115.87","113.59","117.86","118.91","117.40","116.32","120.64","121.50","118.15","118.06","115.66","113.70","112.65","112.55","111.64","111.45","108.47","107.84","109.77","110.98","110.37","110.43","106.43","106.02","107.08","108.63","109.76","108.52","110.15","111.93","111.75","110.87","110.71","109.75","111.65","113.58","116.20","125.95","123.58","123.53","122.14","119.97","121.95","122.80","122.40"
"7.5.1 수출물가지수(기본분류)(2015=100)","    농림수산품","달러기준","2015=100","3.9","원자료","118.82","117.52","121.27","120.42","116.94","115.87","113.59","117.86","118.91","117.40","116.32","120.64","121.50","118.15","118.06","115.66","113.70","112.65","112.55","111.64","111.45","108.47","107.84","109.77","110.98","110.37","110.43","106.43","106.02","107.08","108.63","109.76","108.52","110.15","111.93","111.75","110.87","110.71","109.75","111.65","113.58","116.20","125.95","123.58","123.53","122.14","119.97","121.95","122.80","122.40"
"7.5.1 수출물가지수(기본분류)(2015=100)","  공산품","달러기준","2015=100","996.1","원자료","106.98","106.95","106.21","106.80","107.78","107.02","106.80","106.95","107.20","106.76","103.63","101.24","99.92","100.32","99.77","99.55","98.45","96.89","96.57","95.16","95.27","94.37","93.65","93.61","93.89","92.40","88.97","86.67","86.86","88.72","89.60","90.46","91.05","91.53","93.38","95.80","97.71","99.87","101.72","105.49","107.07","108.27","110.24","110.07","110.53","111.73","110.69","109.27","109.62","111.51"
"7.5.1 수출물가지수(기본분류)(2015=100)","    음식료품","달러기준","2015=100","12","원자료","105.98","107.07","107.69","107.62","106.80","105.76","105.00","104.07","103.40","102.70","102.68","102.82","103.49","103.03","102.97","102.90","101.56","101.36","101.35","100.35","100.13","100.37","100.42","100.33","100.04","100.23","99.93","99.73","99.55","99.60","99.82","100.06","100.58","101.15","101.94","102.66","101.78","101.81","101.69","101.60","102.06","102.26","102.24","102.05","102.15","101.75","101.86","102.13","103.20","103.18"
"7.5.1 수출물가지수(기본분류)(2015=100)","    섬유및가죽제품","달러기준","2015=100","18.6","원자료","102.29","102.71","102.71","103.19","102.95","103.03","102.69","102.64","102.37","101.51","101.90","101.86","102.71","102.66","102.24","102.33","101.64","101.37","101.38","99.97","99.74","99.26","99.52","99.68","99.31","99.14","98.28","97.44","96.96","96.75","96.54","96.61","96.87","97.65","98.40","99.45","101.16","101.44","101.80","103.39","103.67","104.81","106.21","106.34","106.69","106.63","107.37","108.43","109.60","110.10"
"7.5.1 수출물가지수(기본분류)(2015=100)","    목재및종이제품","달러기준","2015=100","6","원자료","101.79","103.27","104.30","107.35","107.61","108.88","115.55","115.76","115.67","116.62","116.33","115.87","111.19","109.78","108.47","108.44","106.86","106.01","101.93","100.56","98.81","95.48","94.99","94.83","93.87","93.94","94.12","94.38","94.83","93.36","91.92","89.92","88.58","87.58","87.12","86.32","87.27","86.82","86.93","94.81","100.12","97.97","101.74","102.27","101.15","104.46","101.43","104.94","107.69","107.69"
"7.5.1 수출물가지수(기본분류)(2015=100)","    석탄및석유제품","달러기준","2015=100","103.9","원자료","121.95","117.92","118.54","126.76","136.45","133.32","133.02","134.30","140.08","143.94","121.68","105.61","107.30","115.85","120.26","125.27","123.03","112.66","119.66","112.38","117.10","114.14","112.63","116.04","113.87","100.34","67.87","45.63","54.38","71.86","77.40","79.08","74.08","74.60","79.81","90.29","97.96","109.35","114.14","114.70","120.93","129.39","134.90","131.53","139.63","157.47","149.29","141.26","157.22","172.72"
"7.5.1 수출물가지수(기본분류)(2015=100)","    화학제품","달러기준","2015=100","207.1","원자료","111.27","114.25","114.65","114.38","116.05","115.49","115.23","116.38","116.47","114.81","108.73","104.15","103.18","104.16","104.52","104.80","103.55","101.39","101.24","100.17","99.96","98.81","97.23","96.45","98.23","96.11","90.99","85.93","85.38","87.76","88.92","90.08","93.31","96.16","100.30","104.71","107.54","113.47","120.49","124.33","125.42","125.61","126.09","126.88","128.62","132.25","130.50","127.15","126.36","128.98"
"7.5.1 수출물가지수(기본분류)(2015=100)","    비금속광물제품","달러기준","2015=100","6.5","원자료","98.95","99.03","99.03","100.60","100.40","100.59","100.61","100.49","99.98","99.84","99.75","101.66","101.91","101.64","101.80","101.52","102.36","102.10","101.52","101.31","101.56","101.58","101.64","101.81","101.72","101.31","100.91","100.20","100.05","100.27","100.53","100.92","101.57","102.25","102.36","102.76","102.78","102.67","102.82","102.84","103.05","103.89","103.27","103.52","106.15","106.66","106.45","105.71","108.35","108.37"
