통계표,항목명1,항목명2,단위,가중치,변환,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02
"7.5.1 수출물가지수(기본분류)(2015=100)","총지수","원화기준","2015=100","1000","원자료","101.04","102.27","100.82","101.00","102.75","103.55","106.14","106.09","106.30","106.82","103.48","100.61","99.23","99.65","99.84","100.51","103.07","100.79","100.44","101.81","100.96","98.87","96.74","97.41","96.75","97.63","96.08","94.00","94.46","95.01","95.08","95.03","94.99","92.73","92.30","92.84","94.89","98.23","101.78","104.46","106.39","107.40","111.58","113.00","114.38","116.93","115.84","114.43","115.80","118.21"
"7.5.1 수출물가지수(기본분류)(2015=100)","  농림수산품","원화기준","2015=100","3.9","원자료","112.10","112.21","114.96","113.72","111.31","111.99","112.79","116.87","117.84","117.40","116.10","119.80","120.55","117.27","118.05","116.69","118.97","117.12","116.96","119.36","118.03","113.58","111.33","114.13","114.24","116.52","119.14","115.32","115.17","114.58","115.16","115.18","113.10","111.49","110.52","108.22","107.60","108.84","109.77","110.51","112.82","115.22","127.42","126.80","127.75","127.76","125.50","127.65","129.65","129.72"
"7.5.1 수출물가지수(기본분류)(2015=100)","    농림수산품","원화기준","2015=100","3.9","원자료","112.10","112.21","114.96","113.72","111.31","111.99","112.79","116.87","117.84","117.40","116.10","119.80","120.55","117.27","118.05","116.69","118.97","117.12","116.96","119.36","118.03","113.58","111.33","114.13","114.24","116.52","119.14","115.32","115.17","114.58","115.16","115.18","113.10","111.49","110.52","108.22","107.60","108.84","109.77","110.51","112.82","115.22","127.42","126.80","127.75","127.76","125.50","127.65","129.65","129.72"
"7.5.1 수출물가지수(기본분류)(2015=100)","  공산품","원화기준","2015=100","996.1","원자료","101.00","102.23","100.77","100.96","102.72","103.52","106.12","106.06","106.26","106.79","103.44","100.54","99.15","99.58","99.78","100.46","103.02","100.73","100.38","101.75","100.90","98.82","96.69","97.34","96.67","97.55","95.99","93.91","94.37","94.94","95.00","94.96","94.93","92.66","92.22","92.78","94.84","98.19","101.74","104.43","106.35","107.37","111.52","112.95","114.32","116.87","115.79","114.38","115.75","118.17"
"7.5.1 수출물가지수(기본분류)(2015=100)","    음식료품","원화기준","2015=100","12","원자료","99.99","102.24","102.10","101.65","101.69","102.22","104.28","103.21","102.48","102.73","102.51","102.13","102.70","102.29","103.00","103.86","106.30","105.41","105.37","107.32","106.07","105.13","103.71","104.35","103.02","105.83","107.84","108.09","108.19","106.60","105.86","105.04","104.87","102.43","100.69","99.45","98.81","100.12","101.74","100.61","101.42","101.43","103.47","104.75","105.68","106.45","106.58","106.93","108.99","109.37"
"7.5.1 수출물가지수(기본분류)(2015=100)","    섬유및가죽제품","원화기준","2015=100","18.6","원자료","96.49","98.07","97.36","97.45","98.01","99.58","101.97","101.77","101.46","101.52","101.70","101.15","101.91","101.91","102.23","103.25","106.36","105.39","105.37","106.88","105.63","103.94","102.74","103.65","102.26","104.67","106.04","105.57","105.35","103.54","102.35","101.40","100.98","98.84","97.18","96.31","98.19","99.73","101.82","102.34","102.97","103.93","107.44","109.12","110.34","111.53","112.31","113.50","115.72","116.67"
"7.5.1 수출물가지수(기본분류)(2015=100)","    목재및종이제품","원화기준","2015=100","6","원자료","96.06","98.65","98.91","101.41","102.48","105.26","114.79","114.83","114.69","116.69","116.16","115.13","110.39","109.03","108.53","109.49","111.88","110.27","106.01","107.58","104.71","100.04","98.13","98.67","96.72","99.23","101.61","102.34","103.10","99.96","97.52","94.44","92.39","88.73","86.10","83.65","84.76","85.42","87.00","93.91","99.51","97.21","102.99","105.01","104.68","109.34","106.16","109.91","113.77","114.19"
"7.5.1 수출물가지수(기본분류)(2015=100)","    석탄및석유제품","원화기준","2015=100","103.9","원자료","115.38","112.92","112.71","120.06","130.27","129.23","132.48","133.56","139.23","144.38","121.81","105.18","106.78","115.34","120.61","126.77","129.12","117.48","124.73","120.49","124.38","119.87","116.62","121.01","117.57","106.23","73.44","49.57","59.26","77.12","82.30","83.24","77.45","75.74","79.06","87.70","95.36","107.83","114.50","113.88","120.48","128.68","136.88","135.36","144.85","165.21","156.64","148.30","166.50","183.57"
"7.5.1 수출물가지수(기본분류)(2015=100)","    화학제품","원화기준","2015=100","207.1","원자료","105.07","109.18","108.79","108.12","110.58","111.72","114.53","115.51","115.54","114.92","108.63","103.52","102.47","103.49","104.62","105.84","108.46","105.51","105.33","107.19","105.96","103.56","100.49","100.38","101.23","101.55","98.26","93.18","92.84","93.99","94.35","94.63","97.35","97.43","99.15","101.49","104.45","111.66","120.61","123.18","124.69","124.66","127.66","130.30","133.12","138.44","136.63","133.21","133.54","136.81"
"7.5.1 수출물가지수(기본분류)(2015=100)","    비금속광물제품","원화기준","2015=100","6.5","원자료","93.34","94.54","93.87","95.00","95.57","97.21","99.90","99.64","99.08","99.83","99.55","100.94","101.11","100.88","101.79","102.41","107.10","106.13","105.50","108.32","107.54","106.35","104.92","105.85","104.72","106.93","108.86","108.55","108.69","107.28","106.57","105.92","105.86","103.49","101.07","99.50","99.74","100.91","102.82","101.79","102.34","102.99","104.46","106.20","109.77","111.56","111.34","110.63","114.38","114.81"
